x;float; double; ulamek
3;2,04459E-05;7,00E-15;0
3;2,20059E-05;0;0
3;1,05395E-05;7,00E-15;5,7E-14
3;1,30207E-05;0;0
4;1,81171E-05;0;5,7E-14
4;1,83973E-05;0;5,7E-14
4;1,34707E-06;0;5,7E-14
4;3,82044E-05;0;5,7E-14
4;1,19046E-05;1,40E-14;0
4;1,0298E-05;0;5,7E-14
4;3,68108E-05;0;5,7E-14
4;4,1336E-07;0;0
4;6,84627E-06;7,00E-15;0
4;4,75204E-05;7,00E-15;5,7E-14
4;3,00225E-05;0;0
5;1,71126E-05;0;0
5;1,55139E-05;1,40E-14;5,7E-14
5;1,23485E-06;2,80E-14;0
5;1,02694E-05;1,40E-14;0
5;3,84966E-05;7,00E-15;0
5;1,25946E-05;0;5,7E-14
5;1,44461E-05;1,40E-14;5,7E-14
5;2,45432E-06;1,40E-14;0
5;2,46078E-05;0;0
5;2,20256E-05;0;5,7E-14
5;3,12197E-05;2,80E-14;0
6;5,21436E-06;7,00E-15;0
6;2,12567E-05;2,80E-14;0
6;2,58933E-05;1,40E-14;0
6;3,38654E-05;1,40E-14;5,7E-14
6;7,32545E-06;0;1,14E-13
6;3,50464E-06;1,40E-14;0
6;2,54211E-05;1,40E-14;0
6;2,66883E-05;1,40E-14;5,7E-14
6;1,86473E-05;0;5,7E-14
6;1,44239E-05;1,40E-14;5,7E-14
6;3,77889E-06;1,40E-14;0
7;3,9551E-05;0;0
7;6,217E-06;1,40E-14;1,14E-13
7;8,24961E-05;7,00E-15;0
7;8,32403E-05;0;1,14E-13
7;8,26518E-05;2,80E-14;0
7;1,51688E-05;1,40E-14;1,14E-13
7;4,62892E-05;1,40E-14;0
7;2,43548E-05;0;0
7;9,20648E-06;0;5,7E-14
7;1,0596E-05;0;0
7;1,35262E-05;0;0
8;1,70384E-06;0;2,8E-14
8;9,92187E-07;0;0
8;1,18664E-05;2,80E-14;0
8;3,15494E-05;1,40E-14;0
8;1,95015E-05;1,40E-14;5,7E-14
8;2,04881E-05;0;0
8;1,69918E-05;0;5,7E-14
8;5,48231E-06;0;2,8E-14
8;1,66774E-05;0;0
8;1,91235E-05;1,40E-14;0
8;5,58099E-06;1,40E-14;0
9;4,43105E-06;1,40E-14;5,7E-14
9;1,02814E-05;0;5,7E-14
9;1,58836E-05;0;5,7E-14
9;2,61518E-05;2,80E-14;0
9;3,45442E-05;0;5,7E-14
9;3,23276E-05;2,80E-14;0
9;9,97151E-06;1,40E-14;0
9;2,39536E-05;7,00E-15;5,7E-14
9;6,21885E-06;0;0
9;3,99849E-06;4,30E-14;5,7E-14
9;1,90612E-05;0;0
10;5,74038E-06;0;0
10;2,75475E-05;1,40E-14;1,14E-13
10;2,23868E-05;0;0
10;1,52795E-05;0;1,14E-13
10;6,31671E-05;0;0
10;1,07123E-05;1,40E-14;1,14E-13
10;1,40985E-05;2,80E-14;1,14E-13
10;1,42222E-05;1,40E-14;0
10;3,73408E-05;1,40E-14;0
10;5,69108E-05;2,80E-14;0
10;1,48643E-05;0;1,14E-13
0;2,86934E-05;0;0
0;1,31669E-05;0;2,8E-14
0;8,45173E-07;0;0
0;4,09115E-06;0;0
0;2,70049E-05;1,40E-14;0
0;2,33807E-05;0;1,14E-13
0;2,67083E-05;0;0
0;6,18563E-06;2,80E-14;2,8E-14
0;1,42468E-05;1,40E-14;0
0;1,78077E-06;2,80E-14;2,8E-14
0;5,64679E-06;4,30E-14;2,8E-14
0;1,41491E-05;0;0
1;1,80873E-05;7,00E-15;0
1;1,12608E-05;1,40E-14;0
1;4,40874E-05;0;0
1;5,9402E-06;1,40E-14;0
1;2,62871E-06;7,00E-15;0
1;6,0492E-05;0;1,14E-13
1;2,14812E-05;1,40E-14;0
1;2,77532E-05;7,00E-15;0
1;2,5111E-05;1,40E-14;0
1;1,40607E-05;1,40E-14;2,8E-14
1;5,97342E-07;0;2,8E-14
1;2,85384E-06;1,40E-14;0
2;1,42835E-05;2,80E-14;0
2;1,01178E-05;1,40E-14;0
2;3,27344E-05;5,70E-14;1,14E-13
2;2,07295E-06;0;0
2;1,11606E-05;1,40E-14;5,7E-14
2;6,47395E-05;2,80E-14;1,14E-13
2;8,27057E-05;1,40E-14;0
2;2,10116E-05;0;0
2;2,03178E-05;2,80E-14;0
2;2,69367E-05;0;0
2;2,47899E-05;1,40E-14;0
2;1,52711E-05;1,40E-14;2,8E-14
3;3,15962E-05;0;1,14E-13
3;2,35938E-05;2,80E-14;5,7E-14
3;6,23786E-05;0;1,14E-13
3;5,56744E-06;0;1,14E-13
3;1,93375E-05;1,40E-14;0
3;7,65921E-05;1,40E-14;2,27E-13
3;2,10069E-05;0;0
3;4,42381E-05;2,80E-14;0
3;4,71736E-05;0;0
3;1,11865E-05;1,40E-14;0
3;2,75143E-07;2,80E-14;0
3;1,78547E-05;0;0
4;5,93682E-06;1,40E-14;0
4;2,53773E-05;2,80E-14;0
4;1,20183E-05;2,80E-14;5,7E-14
4;2,52156E-05;1,40E-14;1,14E-13
4;4,84047E-07;7,00E-15;2,8E-14
4;3,87644E-06;1,40E-14;5,7E-14
4;2,84667E-06;0;0
4;2,69376E-05;0;2,8E-14
4;1,2253E-05;7,00E-15;0
4;9,47283E-07;0;0
4;2,64486E-05;2,80E-14;2,8E-14
4;8,3875E-06;1,40E-14;2,8E-14
5;3,31364E-05;0;5,7E-14
5;6,37801E-06;1,40E-14;5,7E-14
5;3,81568E-05;1,40E-14;0
5;3,2672E-05;7,00E-15;2,27E-13
5;7,45806E-06;7,00E-15;2,8E-14
5;5,69327E-06;1,40E-14;1,14E-13
5;3,51412E-05;0;5,7E-14
5;1,01277E-05;2,80E-14;0
5;8,34972E-06;1,40E-14;5,7E-14
5;5,4275E-06;1,40E-14;0
5;4,89573E-06;7,00E-15;0
5;4,86405E-06;1,40E-14;0
6;2,60872E-05;1,40E-14;5,7E-14
6;1,9824E-05;0;5,7E-14
6;3,01049E-05;1,40E-14;0
6;2,63056E-05;1,40E-14;2,27E-13
6;4,48955E-05;7,00E-15;0
6;9,42403E-05;1,40E-14;2,27E-13
6;1,95471E-07;7,00E-15;0
6;2,9172E-06;0;0
6;2,668E-05;0;1,14E-13
6;9,84385E-06;0;0
6;4,53117E-06;0;0
6;2,48062E-05;0;0
7;2,45906E-05;1,40E-14;0
7;3,28863E-05;1,40E-14;5,7E-14
7;5,53234E-06;0;0
7;8,61486E-05;1,40E-14;2,27E-13
7;2,1637E-05;0;0
7;7,13948E-05;0;0
7;6,65944E-06;0;5,7E-14
7;2,93904E-06;2,80E-14;5,7E-14
7;4,25807E-05;1,40E-14;1,71E-13
7;2,26643E-06;1,40E-14;0
7;7,31151E-06;1,40E-14;0
7;1,23705E-06;1,40E-14;5,7E-14
8;3,15033E-05;1,40E-14;0
8;1,5421E-06;1,40E-14;2,8E-14
8;1,69654E-05;0;2,27E-13
8;2,79202E-05;0;0
8;9,28394E-06;1,40E-14;0
8;2,20189E-05;0;0
8;3,25101E-05;0;5,7E-14
8;1,55328E-05;2,10E-14;5,7E-14
8;7,05688E-05;1,40E-14;0
8;1,05344E-05;1,40E-14;2,8E-14
8;2,94479E-05;7,00E-15;0
8;1,5398E-05;0;0
9;2,9475E-05;1,40E-14;5,7E-14
9;2,31783E-05;0;2,8E-14
9;1,41647E-05;1,40E-14;5,7E-14
9;4,50774E-05;1,40E-14;5,7E-14
9;9,6648E-06;0;2,8E-14
9;1,62665E-06;0;1,14E-13
9;3,24379E-05;0;0
9;1,89385E-05;0;0
9;5,38485E-06;0;2,8E-14
9;2,01226E-06;1,40E-14;0
9;6,1943E-06;0;0
9;3,6984E-07;2,80E-14;2,8E-14
10;8,49417E-06;0;0
10;1,29488E-05;0;0
10;1,88817E-05;2,80E-14;5,7E-14
10;2,32515E-07;0;5,7E-14
10;9,60185E-06;1,40E-14;2,8E-14
10;6,59469E-05;0;0
10;2,49196E-05;1,40E-14;5,7E-14
10;5,69938E-06;1,40E-14;2,8E-14
10;1,27119E-05;5,70E-14;2,8E-14
10;1,46521E-06;1,40E-14;2,8E-14
10;1,87124E-05;0;2,8E-14
10;9,39247E-06;0;2,8E-14
11;4,32644E-06;0;0
11;3,19068E-05;1,40E-14;0
11;3,38132E-05;2,80E-14;1,14E-13
11;2,71194E-05;0;1,14E-13
11;1,13312E-05;1,40E-14;5,7E-14
11;1,49957E-05;1,40E-14;0
11;3,67509E-05;0;1,14E-13
11;5,77084E-07;0;0
11;2,34616E-05;1,40E-14;0
11;1,18688E-05;0;0
11;1,07589E-05;0;0
11;8,03538E-06;2,80E-14;0
0;4,7784E-05;0;5,7E-14
0;6,60601E-05;1,40E-14;0
0;2,36706E-05;0;0
0;6,51731E-05;2,80E-14;0
0;6,72673E-06;0;5,7E-14
0;6,44593E-05;1,40E-14;0
0;1,3094E-05;1,40E-14;0
0;8,72571E-05;1,40E-14;0
0;6,40997E-05;5,70E-14;1,14E-13
0;4,29787E-05;2,80E-14;0
